                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9522,                 3.9886,                 1.2769,                0.26709,                0.09383,                0.03565,                0.02849,                0.78491,                 2.9436,                 1.1511,              0.0033315,              0.0033315,              0.0033315
                      2,                0.93575,                 3.1637,                 1.2259,                0.33911,                0.14516,                0.05709,                 0.0452,                0.88209,                 2.9948,                 1.2221,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.0549,                 3.1408,                 1.2971,                0.30528,                0.11732,                0.05479,                0.03995,                0.98423,                 2.9082,                 1.2913,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.1408,                 3.1807,                  1.342,                0.26519,                0.15608,                0.06972,                0.05139,                0.98999,                 2.7786,                 1.2969,               0.009703,               0.009703,               0.009703
                      5,                 1.0939,                 3.0482,                 1.3161,                0.28249,                0.17167,                0.09436,                0.06965,                0.89136,                 2.5972,                 1.2112,               0.009604,               0.009604,               0.009604
                      6,                 1.0529,                 2.9373,                 1.2943,                0.29776,                 0.2123,                0.11868,                0.09397,                0.81764,                 2.4783,                 1.1569,               0.009505,               0.009505,               0.009505
                      7,                 1.0089,                   2.83,                 1.2641,                0.33872,                 0.2259,                0.13906,                0.11193,                0.80701,                 2.4038,                 1.1484,               0.009406,               0.009406,               0.009406
                      8,                0.98655,                 2.7577,                 1.2516,                0.31625,                0.26692,                0.16043,                0.12845,                0.76005,                 2.3631,                 1.1101,               0.009307,               0.009307,               0.009307
                      9,                0.94576,                 2.6726,                 1.2288,                0.31742,                0.28295,                0.17201,                 0.1396,                0.73181,                 2.2849,                 1.1089,               0.009208,               0.009208,               0.009208
                     10,                0.93515,                 2.6107,                 1.2168,                0.27056,                 0.2685,                0.19332,                0.15801,                0.74883,                 2.2204,                 1.1062,               0.009109,               0.009109,               0.009109
                     11,                0.91318,                 2.5419,                 1.2037,                0.28571,                0.31029,                0.21691,                0.18079,                0.69783,                 2.1236,                 1.0651,                0.00901,                0.00901,                0.00901
                     12,                0.88977,                 2.4899,                 1.1886,                0.29045,                  0.325,                0.24066,                0.19802,                0.71578,                 2.0681,                 1.0847,               0.008911,               0.008911,               0.008911
                     13,                0.88014,                 2.4416,                 1.1901,                0.30592,                0.35949,                0.27723,                0.23366,                 0.6731,                  1.988,                  1.052,               0.008812,               0.008812,               0.008812
                     14,                 0.8624,                 2.3736,                 1.1757,                0.30769,                0.35355,                0.29954,                0.25153,                0.65709,                 1.9435,                 1.0437,               0.008713,               0.008713,               0.008713
                     15,                0.85271,                 2.3309,                 1.1686,                0.35694,                0.34143,                0.31236,                0.26226,                 0.6567,                 1.9178,                 1.0416,               0.008614,               0.008614,               0.008614
                     16,                0.83171,                 2.2772,                 1.1602,                 0.3319,                0.38955,                0.33758,                0.28766,                0.64595,                 1.8438,                 1.0422,               0.008515,               0.008515,               0.008515
                     17,                0.82624,                 2.2231,                 1.1542,                0.32767,                0.41829,                0.35813,                0.30442,                0.62671,                 1.7848,                 1.0244,               0.008416,               0.008416,               0.008416
                     18,                0.81792,                 2.1782,                 1.1471,                 0.3662,                0.41844,                0.37587,                0.32094,                0.62268,                 1.7529,                 1.0238,               0.008317,               0.008317,               0.008317
                     19,                 0.8088,                 2.1419,                 1.1406,                0.37994,                0.38686,                0.36585,                0.31506,                0.60774,                 1.7223,                 1.0132,               0.008218,               0.008218,               0.008218
                     20,                0.79556,                 2.0871,                 1.1345,                0.44239,                0.42016,                0.40883,                0.35027,                0.61298,                 1.6689,                 1.0072,               0.008119,               0.008119,               0.008119
                     21,                0.78542,                 2.0613,                 1.1223,                0.44011,                 0.4111,                0.41718,                0.35924,                0.59974,                 1.6385,                 1.0072,                0.00802,                0.00802,                0.00802
                     22,                0.77849,                 2.0215,                 1.1224,                 0.4823,                0.44343,                0.44915,                0.38728,                0.59128,                  1.575,                 1.0007,               0.007921,               0.007921,               0.007921
                     23,                0.77373,                 1.9858,                  1.121,                0.54555,                0.41337,                0.46057,                0.39877,                0.58878,                 1.5383,                 1.0041,               0.007822,               0.007822,               0.007822
                     24,                0.76653,                  1.944,                 1.1147,                0.54481,                0.43577,                0.47552,                 0.4123,                0.57274,                 1.5169,                0.98501,               0.007723,               0.007723,               0.007723
                     25,                0.76004,                 1.9202,                 1.1085,                0.59319,                0.44539,                0.49735,                0.43185,                0.57881,                 1.4757,                0.99041,               0.007624,               0.007624,               0.007624
                     26,                0.75565,                 1.8677,                 1.1095,                0.53126,                 0.4842,                0.51393,                0.44993,                0.56977,                 1.4151,                0.98639,               0.007525,               0.007525,               0.007525
